"행정구역","2019년07월_계_총인구수","2019년07월_계_연령구간인구수","2019년07월_계_0~9세","2019년07월_계_10~19세","2019년07월_계_20~29세","2019년07월_계_30~39세","2019년07월_계_40~49세","2019년07월_계_50~59세","2019년07월_계_60~69세","2019년07월_계_70~79세","2019년07월_계_80~89세","2019년07월_계_90~99세","2019년07월_계_100세 이상"
"전국  (0000000000)","51,845,612","51,845,612","4,224,547","5,029,512","6,820,949","7,156,062","8,407,480","8,680,063","6,136,869","3,559,132","1,587,612","223,678","19,708"
"서울특별시  (1100000000)","9,751,415","9,751,415","673,846","833,628","1,460,274","1,526,462","1,570,279","1,548,586","1,167,125","675,484","251,161","38,447","6,123"
"부산광역시  (2600000000)","3,425,317","3,425,317","246,721","288,636","440,251","443,803","520,145","589,027","497,879","279,684","103,830","13,598","1,743"
"대구광역시  (2700000000)","2,448,666","2,448,666","190,935","242,350","327,382","311,620","396,772","431,466","300,047","168,516","70,561","8,365","652"
"인천광역시  (2800000000)","2,956,828","2,956,828","246,289","286,626","408,897","426,380","490,791","517,899","328,150","168,735","71,207","10,985","869"
"광주광역시  (2900000000)","1,459,486","1,459,486","128,392","167,210","207,822","196,425","245,473","233,310","149,482","89,281","36,602","5,102","387"
"대전광역시  (3000000000)","1,481,701","1,481,701","124,743","155,836","214,017","203,813","244,756","244,897","163,790","86,508","37,741","5,270","330"
"울산광역시  (3100000000)","1,150,891","1,150,891","106,150","118,294","150,789","162,760","191,694","211,767","130,125","55,718","20,601","2,832","161"
"세종특별자치시  (3600000000)","330,298","330,298","46,225","38,732","35,343","60,477","61,992","41,013","25,874","13,085","6,495","1,008","54"
"경기도  (4100000000)","13,176,011","13,176,011","1,195,759","1,371,159","1,763,053","1,935,950","2,284,579","2,185,776","1,348,872","726,746","314,527","45,775","3,815"
"강원도  (4200000000)","1,540,714","1,540,714","110,790","146,194","180,470","172,582","230,063","272,283","215,602","136,641","65,315","10,011","763"
"충청북도  (4300000000)","1,599,368","1,599,368","131,186","156,606","200,478","202,116","244,802","274,443","200,897","118,882","61,232","8,185","541"
"충청남도  (4400000000)","2,125,349","2,125,349","185,155","210,235","246,282","283,605","329,011","341,829","254,813","165,696","95,170","12,730","823"
"전라북도  (4500000000)","1,825,381","1,825,381","139,740","185,549","215,017","201,989","276,873","305,544","237,667","163,641","86,461","12,112","788"
"전라남도  (4600000000)","1,868,856","1,868,856","141,658","177,847","203,576","198,377","267,513","318,986","251,530","191,835","102,993","13,747","794"
"경상북도  (4700000000)","2,668,836","2,668,836","203,625","239,287","295,604","312,390","393,679","468,571","374,677","237,352","125,899","16,842","910"
"경상남도  (4800000000)","3,366,286","3,366,286","290,222","338,695","389,639","431,092","545,648","584,312","418,327","236,905","115,613","15,136","697"
"제주특별자치도  (5000000000)","670,209","670,209","63,111","72,628","82,055","86,221","113,410","110,354","72,012","44,423","22,204","3,533","258"
